Modelo,Accuracy,Precision,Recall,F1-Score,ROC-AUC
LightGBM,0.926949654491609,0.8339622641509434,0.68,0.7491525423728813,0.9535802469135802
Gradient Boosting,0.9279368213228035,0.8565737051792829,0.6615384615384615,0.7465277777777778,0.9476271876271876
Random Forest,0.920533070088845,0.8693693693693694,0.5938461538461538,0.7056672760511883,0.9370352281463392
SVM Baseline,0.8869693978282329,0.6085972850678733,0.8276923076923077,0.7014341590612777,0.9317415095192872
SVM Optimizado,0.9072063178677197,0.8277511961722488,0.5323076923076923,0.6479400749063671,0.9233039388594945
