Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting Machine,0.9322,0.9633,0.7158,0.8401,0.7726,0.7331,0.7366,0.316
Gradient Boosting Classifier,0.9277,0.9558,0.6674,0.8503,0.7478,0.7063,0.7134,0.154
Random Forest Classifier,0.9249,0.9515,0.6213,0.8759,0.7267,0.6847,0.6984,0.258
Ada Boost Classifier,0.9161,0.9375,0.6536,0.788,0.7145,0.6658,0.6698,0.22
Logistic Regression,0.8946,0.9006,0.5215,0.7463,0.6137,0.555,0.567,0.008
SVM - Linear Kernel,0.8937,0.8889,0.5216,0.7424,0.6109,0.5517,0.5642,0.504
K Neighbors Classifier,0.8959,0.8693,0.5069,0.7673,0.6103,0.5531,0.5691,0.026
Decision Tree Classifier,0.8893,0.799,0.6659,0.6528,0.6591,0.593,0.5932,0.012
